ID,Name,Concepticon_ID,Concepticon_Gloss
2253_tofetch,to fetch,694,GET
2255_hesheitthatthose,"he, she, it, that, those",262,HE OR SHE OR IT
2256_badworthless,bad (worthless),1292,BAD
2265_tosuckatbreast,to suck at breast,2472,"SUCKLE (BREASTFEED, NURSE)"
2274_innermouth,inner mouth,674,MOUTH
2284_slippery,slippery,3702,SLIPPERY
2288_bushknife,bush knife,1352,KNIFE
2289_faraway,far away,1406,FAR
2295_sleepingmat,sleeping mat,105,MATTRESS
2407_sunlight,sunlight,3276,SUNSHINE
2411_treesap,tree sap,345,SAP
2413_seasidewest,sea side (west),1817,WEST
2423_movement,movement,3695,MOVEMENT
2429_tocutthrough,to cut through,1432,CUT
2443_livelybusy,"lively, busy",2755,BUSY
2450_knowledge,knowledge,1410,KNOW (SOMETHING)
2453_togiveanorder,to give an order,1128,ORDER
2479_breastornament,breast ornament,917,ORNAMENT
2483_earornament,ear ornament,917,ORNAMENT
2485_featherornament,feather ornament,917,ORNAMENT
2487_headornament,head ornament,917,ORNAMENT
2488_necklacebeads,necklace (beads),1961,NECKLACE
2489_necklacedogsteeth,necklace (dogs teeth),1961,NECKLACE
2490_nosebone,nose-bone,1221,NOSE
2495_axetomahawk,axe (tomahawk),677,AXE
2498_childf,child (f),2099,CHILD
2499_childm,child (m),2099,CHILD
2502_thatdistant,that (distant),78,THAT
2503_theredistant,there (distant),1937,THERE
2504_thisclose,this (close),1214,THIS
2505_thisfurther,this (further),1214,THIS
2506_thislohap,this (lohap),1214,THIS
2507_therelohap,there (lohap),1937,THERE
2508_yammaho,yam (maho),410,YAM
2509_yamtaitu,yam (taitu),410,YAM
2510_tofallfromstanding,to fall (from standing),1280,FALL
2512_tobreakwood,to break wood,3020,BREAK (BREAKING)
2513_womansclothespulpul,woman's clothes (pulpul),1895,CLOTHES
2515_youngboy,young boy,1366,BOY
2516_comequick,come quick!,3555,COME HERE
2517_giveme,give me!,1447,GIVE
2518_giveyou,give you,1447,GIVE
2522_talktohim,talk to him,2708,TALK
2523_talktome,talk to me,2708,TALK
2524_talktoyou,talk to you,2708,TALK
1566_blackcreature,black (creature),163,BLACK
1675_legfoot,"leg, foot",2098,FOOT OR LEG
2010_leg,leg,2098,FOOT OR LEG
2016_foot,foot,2098,FOOT OR LEG
81_torain,to rain,2108,RAINING OR RAIN
1994_rain,rain,2108,RAINING OR RAIN
817_topain,to pain,2103,PAINFUL OR SICK
1917_painfulsick,"painful, sick",2103,PAINFUL OR SICK
2021_painful,painful,2103,PAINFUL OR SICK
226_tobesick,to be sick,2103,PAINFUL OR SICK
93_warmhot,warm/hot,2272,HOT OR WARM
1659_hot,hot,2272,HOT OR WARM
54_roadpath,road/path,2457,PATH OR ROAD
2015_path,path,2457,PATH OR ROAD
1919_thatchroof,"thatch, roof",2100,THATCH OR ROOF
2183_sagothatch,Sago thatch,2100,THATCH OR ROOF
1702_palmroof,palm roof,2100,THATCH OR ROOF
2287_roofinggrass,roofing grass,2100,THATCH OR ROOF
2237_deadperson,dead person,2101,BE DEAD OR DIE
2430_dead,dead,2101,BE DEAD OR DIE
2127_died,died,2101,BE DEAD OR DIE
72_todie,to die,2101,BE DEAD OR DIE
286_tostop,to stop,2115,CEASE OR FINISH
1590_cease,cease,2115,CEASE OR FINISH
252_tofinish,to finish,2115,CEASE OR FINISH
1555_armhand,"arm, hand",2121,ARM OR HAND
2011_arm,arm,2121,ARM OR HAND
1995_hand,hand,2121,ARM OR HAND
